,state_number,consecutive_number,vehicle_number,drivers_vision_obscured_by,drivers_vision_obscured_by_name
260,35,350031,6,0,No Obstruction Noted
261,35,350031,7,0,No Obstruction Noted
262,35,350090,5,0,No Obstruction Noted
263,35,350072,5,0,No Obstruction Noted
264,36,360211,5,0,No Obstruction Noted
265,36,360211,6,0,No Obstruction Noted
266,36,360883,6,0,No Obstruction Noted
267,36,360883,7,0,No Obstruction Noted
268,36,360889,5,0,No Obstruction Noted
269,36,360889,6,0,No Obstruction Noted
270,36,360823,6,0,No Obstruction Noted
271,36,360823,5,0,No Obstruction Noted
272,36,360094,5,0,No Obstruction Noted
273,37,370920,5,0,No Obstruction Noted
274,37,371097,5,0,No Obstruction Noted
275,37,371097,6,0,No Obstruction Noted
276,37,371035,5,0,No Obstruction Noted
277,39,390096,22,0,No Obstruction Noted
278,39,390096,5,0,No Obstruction Noted
279,39,390096,6,0,No Obstruction Noted
280,39,390096,8,0,No Obstruction Noted
281,39,390096,10,0,No Obstruction Noted
282,39,390096,11,0,No Obstruction Noted
283,39,390096,12,0,No Obstruction Noted
284,39,390096,14,0,No Obstruction Noted
285,39,390096,15,0,No Obstruction Noted
286,39,390096,17,0,No Obstruction Noted
287,39,390096,20,0,No Obstruction Noted
288,39,390096,23,0,No Obstruction Noted
289,39,390096,24,0,No Obstruction Noted
290,39,390096,26,0,No Obstruction Noted
291,39,390096,28,0,No Obstruction Noted
292,39,390096,29,0,No Obstruction Noted
293,39,390096,31,0,No Obstruction Noted
294,39,390122,5,0,No Obstruction Noted
295,39,390552,5,0,No Obstruction Noted
296,39,390552,6,0,No Obstruction Noted
297,40,400055,5,0,No Obstruction Noted
298,40,400245,5,0,No Obstruction Noted
299,40,400245,6,0,No Obstruction Noted
300,40,400365,8,0,No Obstruction Noted
301,40,400365,5,0,No Obstruction Noted
302,40,400365,6,0,No Obstruction Noted
303,40,400365,7,0,No Obstruction Noted
304,41,410225,5,0,No Obstruction Noted
305,41,410225,6,0,No Obstruction Noted
